Metabolites,Veh-Ah-1,Veh-Ah-2,Veh-Ah-3,2dG-Ah-1,2dG-Ah-2,2dG-Ah-3,Veh-XJ-1,Veh-XJ-2,Veh-XJ-3,2dG-XJ-1,2dG-XJ-2,2dG-XJ-3,Veh-DS-1,Veh-DS-2,Veh-DS-3,1mMGLC-DS-1,1mMGLC-DS-2,1mMGLC-DS-3,Veh-Zh-1,Veh-Zh-2,Veh-Zh-3,5uM5FU-1,5uM5FU-2,5uM5FU-3
NN-dimethylglycine,1858636.756,1830685.611,1948636.045,1329562.796,1668904.861,1586450.203,1950606.267,1906923.078,2020540.48,1687948.308,1593489.21,1630310.87,8896150.218,9626462.549,8869892.651,9063350.668,9097425.154,8600058.741,2796849.935,2637806.041,2735901.293,2618076.272,2692193.496,2331483.628
L-asparagine,8644248.309,8638019.946,8913328.955,9852319.017,11356662.24,11619310.53,10279955.62,10307257.5,11635347.36,9797145.087,9427092.032,9956934.12,19245988.54,19199939.04,18966100.52,20573704.1,20528976.84,21544603.24,17024994.52,14838578.2,15099727.74,15395289.12,15282767.2,13701788.54
choline,52915547.29,48999861.44,60105571.09,49805796.21,63847664.4,59520248.33,65811152.72,69483047.28,82383644.32,64680263.93,69560328.51,69747469.22,141170155.5,143171659,130897975.8,98279659.09,98769392.98,104021509.4,48123504.41,42944025.21,38620240.58,43843857.82,45314126.97,43956514.73
L-methionine,6847764.146,8728786.13,8521804.231,5504638.236,8486681.039,9037060.129,7093247.328,7336963.572,9835308.835,6368609.104,6812401.737,6755953.729,21869159.64,28651575.98,25643883.79,30060589.17,31020355.57,31763775.93,9263143.394,8091728.086,7202959.996,7913766.048,8087031.424,6561673.713
Guanine,78662.62315,99281.28885,95636.84525,29978.0094,75846.16135,70276.22605,86988.8867,87121.5754,89262.491,86854.59405,78235.42485,85321.0762,185320.1145,129926.5865,110132.7895,81096.9793,91851.19815,91594.6342,147921.5477,223770.9629,269919.957,174703.9218,230626.9886,255425.443
L-histidine,9680801.358,10392495,10865968.16,6218737.964,8522947.347,7470633.723,8461518.499,8530143.914,10421074.03,7798416.51,8118934.147,8289726.067,6381740.025,6519895.966,5618663.975,3178793.992,3615494.938,4897409.697,9549013.875,11053640.94,11872687.35,9964837.533,11204175.64,12427922.46
spermidine(3+),2239530.576,2850282.957,2928722.586,1861437.348,3238262.169,2324716.907,4204896.565,2773177.437,1929259.153,5051299.445,3216554.969,2239447.685,9761649.791,7584396.2,7366036.159,9742337.667,13483822.91,17244520.75,1910581.182,1434142.025,1004796.644,1588218.441,1368871.762,944969.5391
L-phenylalanine,24489931.38,29413825.36,30775296.32,20724142.71,32319126.43,30160748.47,24565060.78,24898922.66,32537927.75,23439050.32,24362027.76,24524061.42,80654829.94,86269705.12,79981521.52,75525062.61,74821427.68,76303157.19,29172790.41,25610666.5,20501189.58,25386665.05,25732830.53,20542866.8
S-adenosyl-L-methionine,1872542.783,1621102.173,1577586.483,2317409.969,2577919.891,3540857.211,39314.92705,33653.59925,42240.09665,79978.61985,74180.09675,69798.25075,543927.0863,624505.12,685783.5721,520509.8727,475741.19,496470.6267,408694.3641,297312.357,268124.1517,473187.5728,346525.1968,318295.2555
Folate,26351.40395,31768.08935,27420.8849,10514.42565,20241.59055,15807.58985,21951.228,26677.4637,31188.21525,20585.11675,22435.3506,25912.5699,16423.0284,13792.68785,17270.15965,18627.6146,14978.0094,20896.97305,24069.88505,21988.7917,18742.07985,19627.07165,22138.838,18090.2771
L-threonine,3298983.889,3694327.351,3740847.894,3471529.972,4222088.216,4258294.815,4078985.662,4344572.684,5383444.101,3866288.949,4018424.647,4097341.575,14915897.23,16488717.78,15282465.65,16142907.74,16811658.25,17170838.13,4403105.074,4115628.276,3746133.802,4025003.999,4252603.066,3919929.051
glycine betaine,88442595.53,104406186.8,100618695.9,85675594.13,105814046.2,99485238.97,77645362.64,80053083.94,97198334.96,73543504.34,75063746.53,75486577.59,209510735.8,231659615.9,216163600.2,172476256.8,168488372,172166001.6,89651510.43,86710339.11,82522955.85,83972589.85,82798992.95,71867219.97
L-valine,510899.1684,686268.3052,661795.1319,496600.9744,663738.3786,639885.8599,4125290.982,4139336.769,4059248.599,4194690.744,4239242.915,4238523.635,2116294.527,2120013.339,2021337.923,1945620.666,1962162.79,1897600.207,5000946.722,4613228.677,4610339.687,5064825.07,4624569.828,4640494.678
L-glutamine,70865071.44,72503529.17,74486199.5,71189686.39,81273958.4,79246473.67,80878163.87,82163311.22,94158362.26,79477972.41,80247422.6,81820767.73,126584558.6,126029334.7,120818131.9,100613978.6,101554772.8,107480523.6,85583341.63,78148281.91,73317470.03,81971329.86,85707023.82,79786912.07
L-tyrosine,5045615.494,6363172.358,6411945.087,5337374.933,6559003.995,7689488.139,6414001.458,6627179.095,8962144.805,5889416.034,6058689.956,6145628.833,13478541.68,16042010.76,13707888.76,13865200.43,13996548.13,14759652.9,7749453.203,6300223.713,5676009.319,6699564.909,6582337.753,5245427.146
L-alanine,5402162.54,5673206.815,5572647.103,5676056.685,6773875.392,6123812.655,5291133.782,5332511.449,6123781.302,4908597.167,4705310.76,4813326.21,18054320.18,20087660.4,17998315.53,8990247.497,8963632.935,8477663.702,6216881.867,6062122.62,5861049.126,5973659.043,6043185.368,5140519.613
L-proline,76731799.23,70037334.24,79857352.28,76979572.18,94982005.09,104946242.3,58380274.32,59995030.56,75214040.39,55776000.62,53466910.07,56268835.59,149106823.2,178435311.3,163298635.7,209766829.5,206769624.8,206990964.1,103133531.3,82127675.24,68504345.1,92389048.35,89332546.56,71406841.88
Hypotaurine,532667.4221,490060.4619,526454.6262,148084.9982,333631.7823,256941.7408,356919.3925,339395.8455,439716.3815,372973.2358,332582.0127,332038.1399,1049901.662,1123917.825,991216.0434,1145703.147,1166778.367,1120473.311,324039.715,341508.4847,309421.1414,313052.5726,328682.6052,242515.0432
Taurine,34879213.45,36198533.27,36551367.03,31337154.43,33460278.87,29630600.06,18251576.96,18356980.42,23682257.86,19594720.7,19435701.23,19588016.57,61620370.48,62315382.54,62442871,34761815.86,35372654.96,35506370.76,18547445.61,19649029.26,17823084.3,17637652.31,19185469.07,15989503.65
C3H4O2(3),3039367.792,3310515.878,3238444.146,2721030.137,3322705.597,2694987.781,3630089.183,3873816.034,4697060.108,3713170.25,3872610.244,3954757.285,12040128.87,12182903.73,11076751.14,1199426.926,1298092.711,1367801.383,2770561.947,2642162.491,2471587.496,2438117.051,2704066.502,2444345.204
C3H6O2(4),703826.8779,653097.8224,633988.4195,657297.8502,771270.6573,654672.8126,892956.0928,918855.9448,1024724.245,938670.5487,961019.2514,955941.5033,3206660.846,3717688.844,3238409.078,920276.8159,919394.4123,877224.8661,742743.3762,584452.693,547957.2824,631658.9449,578369.3149,559640.3117
Glycerol 3-phosphate,274346.4982,265659.8138,254865.4896,180441.7991,231165.3842,190098.3203,153798.5597,151361.1993,166792.1326,96242.58955,92764.11,76904.7808,616097.201,511978.2325,501037.9665,416422.6803,422537.7703,495482.6071,128523.9415,156349.7482,170178.6958,118587.5963,110950.2921,137482.3091
O-Phospho-L-serine,13579.07745,10403.01465,10843.86645,11035.05115,12477.53485,19974.7251,102138.4805,105633.5878,130799.6529,21770.8588,17244.25285,18766.032,97418.7628,100002.6582,106942.1721,76964.95405,81606.15805,83039.2403,10671.5312,8415.8142,6023.64055,7973.99115,6816.60055,5092.45005
L-2-amino-3-oxobutanoic acid,471736.5536,558263.2616,512716.4444,410889.1374,459693.5862,469776.4036,359681.0356,370134.4121,409780.7376,330732.7226,320528.3524,296550.0331,764591.5833,968431.2853,911388.2912,983955.999,981103.5181,1023618.458,541727.7087,542604.5054,480827.3164,495019.0527,507412.1556,393508.3934
3-(methylthio)propionate,657083.8248,484459.1057,402823.1333,700826.4968,520342.8982,433972.0373,405382.5489,387936.7772,351714.7094,412360.4605,396042.0792,378535.4861,393332.3895,377564.5509,394207.2859,342306.8852,329587.9586,347982.5611,1332471.58,715166.034,515224.8768,1109424.911,702494.9516,469934.6394
L-erythrulose,2278537.495,2243367.563,2379698.465,2158121.3,2574293.838,2050414.896,3217448.769,3364167.814,4206395.935,3264030.93,3323782.742,3476970.987,10190750.44,10252908.25,9572550.196,700100.9756,730462.9251,761641.8476,2145250.335,1965788.14,1763622.54,1785705.057,1970625.056,1738231.447
D-aspartate(1-),2231107.665,2331585.786,2371407.27,2617970.394,3133673.391,2668325.316,5126948.645,5066696.595,6272360.332,5426273.241,5468123.269,5762479.746,12724979.91,12146153.93,11842322.78,18216440.41,18131359.3,19569182.32,3568734.059,3185190.672,2999318.38,3172603.53,3296455.722,3075485.836
(S)-malate(2-),24292876.88,22374198.45,23207655.45,21750889.05,24629864.13,23639759.62,18199248.38,17679428.72,19195656.54,14515614.77,14480260.72,14423930.42,64906991.94,64503511,64823313.81,64321275.73,64879378.98,65315598.7,27067216.52,23477119.28,21639023.66,23923986.88,23564130.84,19459926.52
L-threonate,4195066.62,4492499.017,4472191.377,2432003.334,3297534.734,2477657.072,8944965.777,9173276.734,11065620.96,7999730.207,8232961.847,8102672.671,16157983.26,22780351.51,19666938.32,6988261.97,6373789.859,6336010.376,5790382.905,5584778.223,5153653.357,5292805.225,5410662.934,4418166.205
N-phosphocreatinate(2-),3458426.519,3584380.513,3473218.54,1399590.003,2213112.004,1854219.444,3504496.693,3463425.064,4065435.651,2141189.02,1969349.52,2062673.946,10024806.91,10100784.99,9823928.878,8254824.377,8199369.01,8876415.865,3465504.328,3146425.878,2809801.904,3024685.362,2858215.135,2452874.622
3-methyl-2-oxobutanoate,604034.6697,722357.6227,673753.8762,599859.7365,719260.0466,670340.5633,576147.3395,568259.0129,621130.4987,495044.151,481405.4627,482158.3409,1086285.455,1070020.835,1062111.264,769688.4674,782307.7834,816298.2653,1192459.261,965168.0627,958234.7455,969755.3885,1004270.436,820326.468
beta-hydroxy-beta-methylbutyrate,191257.7147,218246.8707,191892.4744,167440.4962,195877.34,177836.4665,286267.0075,283014.8303,327157.3123,260416.2835,262824.4545,258914.2888,966790.4838,1213387.801,1209285.429,239644.2044,236631.2619,223842.8534,284247.5239,216943.971,208289.0118,228685.506,210412.0058,186404.357
C5H9NO3(5),5916820.729,6062802.845,5985649.232,6421407.054,8188156.381,6958401.933,6658628.322,6652163.305,8393554.067,6397005.978,6297586.023,6492790.517,19453637.84,20254550.49,18995195.1,20378484.93,20781608.78,22105413.09,10210959.69,9673780.609,8949893.669,9300430.591,9538014.478,7837947.764
2-oxoglutaramate,144653.2148,140473.0249,133438.4033,130178.0112,144012.6425,132188.6325,299328.52,305632.0368,391914.6205,244866.8103,263710.5185,251500.4634,457397.2724,673492.5753,659080.024,356345.8628,354031.8404,350122.4457,245825.7229,227877.0677,188741.6954,218190.9323,221402.5165,159442.1015
2-oxoglutarate(2-),4754200.051,3255775.179,3221190.634,3422492.105,3626697.257,2457056.069,1809692.074,1921088.216,2058949.394,1195104.429,1150910.804,1193494.129,5082803.923,5249655.388,5331861.375,4611064.584,5642211.204,6145732.293,3514027.441,3260609.702,1966142.464,2722650.518,3206424.194,2821406.332
Xanthine,8117786.952,10905479.68,9331714.281,3563738.881,6128277.297,5939442.364,11619811.01,12304684.94,15673035.81,10650932.34,12166428.16,11704475.21,20964702.51,21559913.1,23124485.88,990844.1684,1066089.396,1142618.566,2990828.806,4231421.379,4866514.583,2361434.316,4374594.027,3832388.764
orotate,50930.4337,44723.25715,53458.1713,59145.33935,55644.7109,47003.60665,276237.3383,238238.5398,353698.9869,116388.3346,161504.3591,124382.4273,145330.3936,225022.2531,264582.4052,214097.3532,268258.725,249886.8813,94619.3775,157777.9057,115806.6288,169427.8463,164792.7409,114543.9489
(S)-dihydroorotate,71881.42155,63757.07975,73543.5409,53844.96325,66744.4649,59586.39245,153659.8654,155661.0976,214323.4071,84262.6705,77810.61325,72379.1299,125432.2742,270294.762,330068.1351,521230.3598,500759.6686,472097.1237,365398.3222,513141.6905,407636.463,313274.7968,378282.189,221614.5779
79-dihydro-1H-purine-2688(3H)-trione,1593012.257,1887282.137,1664329.616,1086534.118,1398289.532,1285570.838,1951449.785,2027347.761,2703005.138,1545519.184,1691287.309,1686796.503,3525686.093,3924124.503,3328252.141,95322.32795,124422.5026,95468.83765,1050608.148,1132505.722,970714.5071,904583.2786,1121743.45,960699.6234
N-Carbamoyl-L-aspartate,228652.6241,188635.3144,166346.2697,151721.6085,144589.8402,101002.9704,81429.4621,76668.64875,127477.083,46278.86375,47948.7561,42988.74685,544291.4013,558241.4416,487484.6827,434529.4126,486718.7893,481762.8571,270748.8162,255116.8685,280263.2671,216321.45,236994.163,199508.9894
(R)-2-hydroxy-4-methylpentanoate,210240.1637,244316.8139,226069.4505,189953.8612,221750.0117,201091.0108,107142.0634,103624.3194,112236.4653,88974.5294,89526.56785,92131.13775,302343.8696,407051.6741,428174.4073,233881.4681,235308.8936,221567.1498,164951.489,138467.5178,139921.9721,131482.9196,139977.84,119910.1087
4-nitrophenolate,540464.2759,556030.3548,455223.269,501457.7797,440142.0479,483379.2706,114960.8927,109200.7021,84215.07825,100524.551,108592.4599,99438.6724,311974.0322,303996.2942,328610.078,281430.7036,281339.8343,250725.8897,221475.2484,125200.0261,92742.09165,237498.7682,146800.6308,134845.6622
2-methylglutaconic acid,1636552.938,1876681.094,1769588.412,1496439.714,1813270.679,1492295.823,2122309.83,2230883.683,2806999.193,2165014.591,2268677.895,2313215.954,9881689.254,10511782.02,9444941.637,352812.7869,403092.0246,440557.3285,1463139.01,1290477.614,1210148.333,1271302.274,1332736.801,1187245.714
L-lysinium(1+),4238526.724,5142551.917,5390611.405,2437473.652,4019110.58,3858125.112,3694308.26,3778195.244,4862070.065,3415460.587,3685299.109,3660246.027,6529561.329,6966904.958,6365278.321,7885427.479,8523222.114,8776500.499,1858362.87,1972211.703,1798607.841,1938037.99,2168863.877,2011871.16
2-aminomuconate(2-),201699.2351,177002.7862,170600.319,199502.4081,206360.1772,154393.7425,59528.3669,60850.6602,73217.13705,66021.74125,64597.26245,62623.4272,163328.2334,157388.774,146190.671,180249.095,180814.0856,189013.7145,73189.5828,70713.40175,57500.36515,68772.1849,72773.63355,77526.86305
2-oxoadipate(2-),16078.50435,20354.2155,19848.0401,14928.58335,18752.651,23221.94905,13021.31425,12618.49225,14709.5099,11549.87925,11037.37745,10726.81355,1424811.112,2109073.647,1822245.049,10927.4111,8286.6375,8954.30995,13775.09795,10123.5414,10253.10355,10912.5233,9184.8542,8824.1943
erythro-5-hydroxy-L-lysinium(1+),33540.65995,38745.4556,40864.2894,15477.95635,32160.49945,29984.13625,30990.34295,32685.5236,39194.4181,25000.5257,27534.4575,26164.00875,52217.3375,55854.26825,50486.8031,9382.7726,10061.97065,8517.4752,12216.54415,15755.92825,14477.87975,12541.7311,14908.4827,12875.49185
L-argininium/D-argininium,14329613.26,17464160.4,17348772.33,10607731.25,14947176.3,14335012.2,10395641.32,10672213.22,13544552.95,9367074.494,10119230.69,10129007.05,17805138.95,18458575.98,17207618.14,21390318.91,23351125.23,24066616.3,8653244.359,8412226.773,7946833.559,8238314.766,8525043.509,7544243.609
4-Nitrophenyl sulfate,13737.1329,21713.77705,22330.6263,12066.4391,16454.95525,15621.82935,9226.1911,8696.52545,13350.23725,7324.8625,7629.26375,6955.2201,42882.6408,28994.7613,30946.16545,6163.9022,6680.37115,8580.29035,31754.1818,17417.83705,24222.44025,12954.36115,21116.3381,19129.88155
D-Glucosamine 6-phosphate,354755.3273,389417.3047,385176.9156,181280.303,226607.5278,181141.4054,42308.069,35532.6448,47434.38585,33688.50445,31532.52725,36169.7155,219134.1794,198380.1344,228378.9206,238963.6303,234707.8285,237248.8913,69748.9667,70539.9213,66143.45645,57494.70545,62468.3785,52503.3548
6-phosphonatooxy-D-gluconate,185623.2323,208413.2843,215043.6598,220220.8669,307617.015,353602.783,331439.9979,321825.9327,434598.9954,234241.8929,250512.4118,233969.1673,185393.8297,221864.4736,253539.4255,139443.5793,167644.3477,164956.7462,375698.5808,448225.9874,344009.3746,263963.4128,341218.8471,268384.0802
2-acetamido-5-oxopentanoate,16934.7598,21154.6793,16687.88235,8716.7737,9803.68125,11384.1082,49284.7765,52573.6549,53077.8543,54962.9567,61488.5557,64898.09,16328.4676,33644.8945,43493.49435,31508.30485,36102.46265,42762.3785,29224.16755,36594.13465,32676.5275,32368.667,31717.4691,28407.5664
N-acetyl-L-glutamate(2-),5565060.396,4606994.138,4614908.019,4155766.646,4872707.274,3576010.618,2274387.669,2293956.119,2756241.026,2112982.2,2001009.793,2145337.546,3808827.167,3511228.687,3522225.636,3918241.491,3939689.964,3990319.592,3487068.349,3314234.145,2308013.492,3222014.755,3633305.04,3662953.529
Sedoheptulose 7-phosphate,170148.5516,185960.4663,198512.7337,82283.90725,97256.66895,100031.8713,156489.8504,149273.897,178236.358,111590.1484,116774.1634,121003.8164,100517.6416,81444.29015,86363.97555,82221.65535,81739.1764,69843.8701,107609.4286,122496.5174,93675.3058,91672.5446,100724.8136,94962.82545
4-pyridoxate,235537.5245,288279.6626,315101.624,131893.1512,173610.8038,165000.7458,204212.4999,222616.6538,266915.1403,182327.6241,176695.5809,186892.0373,558351.5609,592934.0326,629437.2753,162219.8066,158181.6722,160734.1686,95095.4074,104524.3535,110328.5576,121065.3367,115557.4574,95343.15725
lipoate,141796.0902,162048.9309,145682.6527,95342.10985,123863.2259,92428.90005,186183.5262,188103.4363,202706.1598,180757.633,201869.982,193844.5726,353055.4988,354196.8193,367628.2544,189509.1056,188480.0917,181920.4741,101225.326,109941.5694,119135.7397,100051.2529,113661.6781,118149.8028
Sulfate derivative of norepinephrine,660838.8364,854787.0826,713028.1512,146495.2283,244898.1803,181779.4894,77504.6105,82415.2103,98234.1444,21207.8316,22345.25525,19415.8866,212721.4653,236257.3852,235688.5588,1344335.437,821199.6149,513918.573,267833.7657,503657.4724,483097.4135,279543.6742,412065.4173,346681.0244
gamma-L-Glutamyl-L-cysteine,150266.8243,145440.8128,154190.3999,48850.9578,84793.01425,73537.68675,18560.94665,21239.37825,23556.70315,21326.70305,20270.19795,17774.51095,69223.46245,60891.42245,57951.1427,67540.26875,58774.252,59017.00925,95651.4188,97334.0124,92596.77905,94747.25125,93500.87815,76177.8608
N2-Formyl-N1-(5-phospho-D-ribosyl)glycinamide,117038.3924,129399.2292,133097.3024,64642.77175,100463.7609,64648.8889,58659.0574,64033.364,67787.3071,62106.14085,59779.4226,57203.9169,74109.98325,88281.68195,80490.15375,423725.4015,390274.5164,420021.0239,146495.0517,142248.1739,133965.9392,52648.24075,53216.8019,49790.21325
nonanoate,3325418.651,3014302.406,2598184.548,3382501.254,2944795.42,2718797.876,3108379.945,2892241.581,2564389.234,2867024.703,2887744.96,2706851.273,2547645.977,2440872.485,2749721.314,2533298.926,2522482.257,3241751.016,5411266.634,3080271.208,2814465.296,4118659.303,3162691.107,2946647.838
(4-hydroxy-3-methoxyphenyl)acetaldehyde,115530.255,131364.4506,111125.851,90409.4634,105326.6278,107966.7845,92871.8114,88885.5874,92387.67355,72837.1723,71116.29685,73136.4869,122092.8432,162592.8606,155914.8644,95127.14665,111059.3891,107875.1809,79840.2664,65621.4706,58170.653,62747.87805,67309.9891,57264.44365
4-hydroperoxy-2-nonenal,612402.8352,661456.8053,527467.8293,527060.0439,516703.8418,551259.3285,206089.4055,187783.4673,131515.583,155159.2802,162238.4049,158765.7128,500905.4748,460847.7361,487056.0633,391609.1668,407338.9867,448588.8961,340774.6688,184702.9187,163808.6139,265037.2162,176664.1636,183885.2325
(R)-Pantothenate,15476152.8,16835880.99,15539570.29,14529605.24,18131019.66,17211740.73,15303269.8,16088013.71,20460689.61,15128852.81,16482487.28,15511878.46,57297525.99,60544773.24,58339952.76,30546413.69,31440120.21,31571885.39,10906543.63,11782896.7,8858057.242,9966580.715,11610107.34,7769333.752
Deoxyuridine,20414.769,23311.6207,24878.9251,13953.14275,21796.7588,17937.52055,6191.524,6307.0677,9684.038,6070.6498,6294.3598,6290.222,107702.9821,99490.1912,87052.5974,56293.2796,70096.6812,65591.2955,8126.20485,11271.6154,13826.2739,456983.5971,604953.9992,492340.7364
Galactosylglycerol,39010.81525,32967.4149,33400.1846,36735.8388,45395.88745,36037.30615,15457.50705,16970.5874,17516.90185,38420.6213,44077.8319,47098.4798,25430.3071,26213.79205,27275.8626,11480.032,11298.25395,9747.55645,25002.46125,26211.69465,27435.9221,21650.72585,26476.6103,19153.16595
S-[2-carboxy-1-(1 H-imidazol-4-yl)ethyl]-L-cysteine,51086.33365,79235.0256,95301.93635,19479.4232,34372.19985,25911.58495,39150.55205,42533.1981,51965.59545,36124.7483,36530.9718,32197.59925,244405.0992,242187.8989,245439.3032,100183.4579,125206.8929,123603.7385,20135.70575,17681.19855,14256.99155,14500.7927,11370.1682,11554.91615
N-acetyl-seryl-aspartate,368307.7541,372830.3102,383320.7851,191556.155,279202.1793,255594.5123,83252.00085,81236.81305,108933.5382,62805.77405,60621.65765,68454.96815,328692.9953,261950.7478,294224.4423,336818.9263,349859.4677,349204.2766,243782.9213,221160.7588,174226.3161,228327.9632,220001.5531,178649.6277
2-keto-3-deoxy-D-glycero-D-galactononic acid,36521.83535,33712.5425,38953.55875,187675.4149,271586.382,221765.4576,71330.4835,78950.8148,60264.49395,429940.352,457703.8638,433809.295,104547.572,96296.60125,101963.761,67911.86655,67062.69015,68794.67455,45319.2498,29349.51305,32213.45905,32973.5484,31530.67935,25755.6702
UMP/3-UMP,75265.53885,74254.47585,72724.5507,111400.4775,179556.8575,134020.6446,144413.0753,162241.4426,171669.9768,47742.66465,42959.469,45207.63115,116841.1472,89598.69225,90731.0915,102408.5025,83471.79525,94378.3434,24869.4521,28939.42865,27705.4155,34275.0167,38184.42485,28437.5685
5-Amino-1-(5-Phospho-D-ribosyl)imidazole-4-carboxamide,40264.02585,58027.29155,57500.52675,21846.9646,24708.525,31240.59315,116814.2541,117589.4878,150091.9967,101153.108,107194.8941,91440.64105,134790.6806,195840.8375,159354.8435,128533.4011,126134.2125,155268.9136,143210.7088,142940.4397,169351.1646,143004.0167,158212.4185,100843.44
2-keto-3-deoxy-D-glycero-D-galactononic acid 9-phosphate,64969.301,79410.50595,83455.0009,111910.4209,166923.434,146242.7597,22560.49215,23238.0779,25574.36445,189910.8078,186869.6235,174613.3419,4642.83815,6106.33195,6908.7074,14819.7413,15895.1091,17044.59505,30671.7749,36260.34105,31055.9981,19290.41015,19851.70645,15544.4067
trans-45-epoxy-2(E)-decenal,24657.0476,25303.71375,19963.1837,17913.7507,17565.5568,16384.8751,6678.70585,7457.6044,6990.62215,6965.37225,7731.46425,5803.51085,14403.72415,26792.87925,20145.3812,24561.62705,32836.13895,34105.49485,15978.1807,9018.4198,7067.2805,11123.52115,12520.913,8204.80225
caprate,1046728.053,954412.2807,800499.3922,1026641.115,890828.868,862779.2193,1119408.784,1062081.064,998334.0807,1053843.818,1070402.214,1001087.296,1657248.642,1550858.256,1666467.067,1588472.849,1594034.217,1716118.75,1886834.028,1146554.552,1104972.757,1481456.953,1204255.343,1141194.189
w-hydroxydecanoicacid,84733.36175,99166.47185,76358.3997,78809.7564,76799.21465,89713.0403,22836.74185,21601.3681,19319.95675,18898.8779,20885.38695,22584.3693,72061.8554,79719.4986,95666.71335,78855.84,85655.84985,75077.1702,39226.0489,32890.69275,25113.73985,31571.30025,31609.25205,31299.00205
kynurenate,108835.9149,158949.4816,149250.8228,74482.4625,113976.8334,106006.3513,142853.0044,150295.5321,171440.5008,122623.2548,120661.2944,126195.0737,183099.6155,253557.5014,231573.2337,71550.72575,83867.2035,100031.9993,81962.35305,85879.8347,84835.98915,71416.9243,81204.9419,77166.16895
o-methylhippurate,2026156.191,3053561.244,3292074.132,1546984.129,2297726.465,1982839.056,2059076.218,2181059.3,2517983.536,1725209.035,1735464.428,1792211.722,2328621.008,2656001.729,2326363.237,1775443.828,2191182.353,2214454.069,2977114.724,3060992.137,2982322.142,2218646.784,2958488.353,2611379.917
N(omega)-(L-Arginino)succinate,36166.85435,33134.99955,36130.1737,47355.5934,60244.16275,65595.8143,43446.951,42505.81275,51557.7326,34963.75675,34244.0131,34388.76755,67581.28535,68272.6765,64583.68835,57922.5497,52113.8667,65468.395,76875.0375,65363.7242,66161.91265,77561.705,67995.988,55146.0314
L-tryptophan,2339456.94,2252002.263,2273187.213,2584189.148,3158843.138,2954055.801,2998250.339,3110909.352,4154832.846,2834444.454,3117724.874,3037580.616,8864214.175,9024144.652,8176027.125,7285426.936,7416714.585,7339125.731,3715299.959,3402649.765,2532059.634,3399257.522,3454583.353,2399674.213
5-Methoxyindoleacetate,105756.2318,133800.4884,155539.6753,76975.0182,113629.7364,88236.4428,125171.5213,129385.9612,168310.5461,103481.1842,107924.0213,108614.4123,164057.735,165335.3618,138904.7881,103894.0432,116274.0444,128445.1849,120739.0126,114231.9205,115507.1643,93657.36625,116520.0424,103013.8688
salsolinol 1-carboxylate,67545.9443,78751.3116,73010.328,48925.8533,66798.0388,64246.1761,26639.237,32111.6407,45976.40665,20378.63835,22188.6731,22184.5791,147359.1993,195669.8923,178030.1219,16389.76005,14393.96425,16043.8417,18024.621,21477.85515,21842.8873,18500.527,23074.32345,25879.10625
laurate,646007.6857,695283.161,433373.693,608681.8886,534707.9267,651308.1214,1004140.293,945977.0501,878566.3856,988565.3434,964470.5639,924654.9944,1341664.804,1215001.402,1328488.717,1145737.512,1138748.826,1113459.74,1751095,994582.5631,936654.4985,1399195.128,1082301.179,1018987.587
omega hydroxy dodecanoate (n-C12:0),75747.3447,85454.9311,58475.50955,64374.33895,73632.78795,75741.666,22579.14655,21856.0942,20154.65335,24835.54,25787.4648,21043.88085,41479.2536,50678.3618,52502.3918,48263.1304,49349.6186,43934.92815,37472.6837,24995.12375,22710.3941,31659.65005,71762.90905,57355.46
Dodecanedioic acid,190195.8617,199287.3698,166939.518,162878.8981,132758.0464,144918.0815,31828.8641,27570.6828,20124.81405,28143.65055,31216.14405,25420.9662,76977.20845,95557.72505,86286.3032,154751.5244,155237.9085,153427.1836,51229.9851,39551.7333,33504.46585,54200.03315,51835.1515,43401.2915
1-deoxy-1-(N6-lysino)-D-fructose,2229086.328,2998220.209,2934002.555,1299150.713,2629978.928,2560177.741,333631.208,334651.8656,322454.372,232815.2094,268600.3449,251813.9128,3555486.283,4269603.993,3764567.05,32065.04305,35258.15685,27503.7084,469488.4965,345092.9425,305339.8969,380250.8254,361092.9663,286238.5608
tetradecenoate (n-C14:1),82759.0168,139675.5734,70690.2077,51996.0483,72573.24735,103428.6362,182429.4254,197490.3846,220386.6341,191783.6968,213678.1124,212820.4214,254292.5458,242290.6443,263815.7899,251235.0558,280282.9208,251577.3711,285156.5398,225815.4196,195223.8582,258569.4199,266096.0214,208327.4854
myristate,1377975.822,1746717.38,916265.0868,947376.8731,823967.633,1445568.955,1900355.606,1703327.559,1402376.868,1568159.9,1658613.668,1617964.592,1533031.964,1319809.514,1575903.075,1282698.603,1418813.831,1548548.927,1963848.506,1555941.117,1431996.006,1809843.604,1689399.621,1589244.083
6(S)-hydroxy-tetradeca-2E4E8Z-trienoate/6(R)-hydroxy-tetradeca-2E4E8Z-trienoate,16102.51805,19481.45135,14630.49925,10320.47705,9897.7063,11858.7415,11517.56975,9630.16555,9673.83805,9035.91665,11141.39435,9469.86525,3846.37095,6184.42085,5869.56055,5472.5139,11319.2676,11583.04645,20530.30135,10719.88005,11616.99225,12137.59105,14892.1262,14005.7077
omega hydroxy tetradecanoate (n-C14:0),17681.76055,24545.50485,15894.95435,12568.52255,13942.01485,16984.38525,22623.97495,23059.3661,27089.4115,22268.8587,23248.07365,19774.23405,32122.60745,39726.86725,34344.7536,30604.0977,36869.17125,34520.8059,32231.04465,24951.5154,20175.0341,23728.51375,35808.68845,26206.616
